CVR,Date,Product Number,Default Channel Grouping,Device Category,Number of Records,Region,Revenue,Sessions,Source,Transactions
0,1/1/2019,0,Organic Search,mobile,1,Ankara,0,2,google,0
0,1/1/2019,0,Organic Search,mobile,1,British Columbia,0,1,google,0
1,1/1/2019,18432,Organic Search,mobile,3,California,11.14000034,4,google,1
0.5,1/1/2019,25621,Organic Search,mobile,3,California,14.94999981,4,google,1
0,1/1/2019,0,Organic Search,mobile,1,Central Development Region,0,1,google,0
0,1/1/2019,0,Organic Search,mobile,2,Delhi,0,2,google,0
0,1/1/2019,0,Organic Search,mobile,2,East Java,0,2,google,0
0,1/1/2019,0,Organic Search,mobile,1,England,0,1,google,0
0,1/1/2019,0,Organic Search,mobile,2,Federal Territory of Kuala Lumpur,0,2,google,0
0,1/1/2019,0,Organic Search,mobile,2,Flanders,0,2,google,0
0,1/1/2019,0,Organic Search,mobile,7,Florida,0,7,google,0
0,1/1/2019,0,Organic Search,tablet,4,Georgia,0,3,google,0
0,1/1/2019,0,Organic Search,tablet,1,Georgia,0,1,google,0
0,1/1/2019,0,Organic Search,tablet,1,Grand Est,0,1,google,0
0,1/1/2019,0,Paid Search,desktop,1,Guangdong,0,1,google,0
0,1/1/2019,0,Paid Search,desktop,1,Gujarat,0,1,google,0
0,1/1/2019,0,Paid Search,desktop,3,Hamadan,0,3,google,0
0,1/1/2019,0,Paid Search,desktop,4,Ho Chi Minh City,0,4,google,0
0,1/1/2019,0,Paid Search,desktop,1,Illinois,0,2,google,0
0,1/1/2019,0,Paid Search,desktop,2,Iowa,0,2,google,0
0,1/1/2019,0,Paid Search,desktop,1,Kansas,0,1,google,0
0,1/1/2019,0,Paid Search,desktop,2,Karnataka,0,2,google,0
0,1/1/2019,0,Paid Search,desktop,1,Kentucky,0,1,google,0
0,1/1/2019,0,Paid Search,desktop,1,Kronoberg County,0,1,google,0
0,1/1/2019,0,Paid Search,desktop,2,Madhya Pradesh,0,2,google,0
0,1/1/2019,0,Paid Search,desktop,3,Maryland,0,3,google,0
1,1/1/2019,25621,Paid Search,desktop,1,Michigan,99.90000153,1,google,1
0,1/1/2019,0,Paid Search,desktop,2,Minnesota,0,2,google,0
0,1/1/2019,0,Paid Search,desktop,1,Minsk Region,0,1,google,0
0,1/1/2019,0,Paid Search,desktop,1,New Jersey,0,1,google,0
0,1/1/2019,0,Paid Search,mobile,1,New York,0,1,google,0
0,1/1/2019,0,Paid Search,mobile,3,North Carolina,0,3,google,0
0,1/1/2019,0,Paid Search,mobile,1,Ohio,0,1,google,0
0,1/1/2019,0,Paid Search,mobile,8,Oklahoma,0,9,google,0
0,1/1/2019,0,Paid Search,mobile,5,Ontario,0,4,google,0
1.583333333,1/1/2019,98028,Paid Search,mobile,20,Oregon,214.2000046,54,google,3
1,1/1/2019,25635,Paid Search,mobile,10,Penang,44.95000076,11,google,1
0,1/1/2019,0,Paid Search,mobile,3,Pennsylvania,0,4,google,0
0,1/1/2019,0,Paid Search,mobile,9,Prague,0,12,google,0
0.25,1/1/2019,18595,Paid Search,mobile,17,Quebec,49.95000076,28,google,1
0,1/1/2019,0,Paid Search,mobile,15,Rhode Island,0,33,google,0
0,1/1/2019,0,Paid Search,mobile,1,Selangor,0,2,google,0
0,1/1/2019,0,Paid Search,mobile,1,Tennessee,0,1,google,0
0,1/1/2019,0,Paid Search,mobile,13,Texas,0,25,google,0
0,1/1/2019,0,Paid Search,mobile,8,Western Cape,0,9,google,0
0,1/1/2019,0,Paid Search,mobile,5,Arizona,0,6,google,0
0,1/1/2019,0,Paid Search,mobile,1,Arkansas,0,1,google,0
1,1/1/2019,29744,Paid Search,mobile,9,California,100.1200027,10,google,2
0,1/1/2019,0,Paid Search,mobile,5,Colorado,0,6,google,0
0,1/1/2019,0,Paid Search,mobile,2,District of Columbia,0,3,google,0
0,1/1/2019,0,Paid Search,mobile,5,Florida,0,5,google,0
0,1/1/2019,0,Paid Search,mobile,4,Florida,0,6,google,0
0,1/1/2019,0,Paid Search,mobile,9,Iasi County,0,14,google,0
0,1/1/2019,0,Paid Search,mobile,5,Illinois,0,5,google,0
0,1/1/2019,0,Paid Search,mobile,6,Indiana,0,8,google,0
0,1/1/2019,0,Paid Search,mobile,3,Khulna Division,0,6,google,0
0,1/1/2019,0,Paid Search,mobile,2,Kyiv city,0,2,google,0
0,1/1/2019,0,Paid Search,mobile,4,Michigan,0,7,google,0
1,1/1/2019,18491,Paid Search,mobile,2,Missouri,49.95000076,2,google,1
0,1/1/2019,0,Paid Search,mobile,1,Nevada,0,1,google,0
0,1/1/2019,0,Paid Search,mobile,9,New York,0,12,google,0
0,1/1/2019,0,Paid Search,mobile,15,North Carolina,0,24,google,0
0,1/1/2019,0,Paid Search,mobile,16,North Dakota,0,30,google,0
0,1/1/2019,0,Paid Search,mobile,5,Oregon,0,8,google,0
0,1/1/2019,0,Paid Search,mobile,6,South Carolina,0,6,google,0
0,1/1/2019,0,Paid Search,mobile,7,Tennessee,0,8,google,0
0,1/1/2019,0,Paid Search,mobile,14,Texas,0,22,google,0
0,1/1/2019,0,Paid Search,mobile,1,Utah,0,2,google,0
0,1/1/2019,0,Paid Search,mobile,7,Virginia,0,9,google,0
0,1/1/2019,0,Paid Search,mobile,11,Washington,0,19,google,0
0,1/1/2019,0,Paid Search,mobile,20,California,0,64,google,0
0,1/1/2019,0,Paid Search,mobile,1,Georgia,0,1,google,0
0,1/1/2019,0,Paid Search,mobile,5,Alabama,0,7,google,0
0,1/1/2019,0,Paid Search,mobile,10,California,0,14,google,0
0,1/1/2019,0,Paid Search,mobile,6,Colorado,0,10,google,0
0,1/1/2019,0,Paid Search,tablet,1,Connecticut,0,1,google,0
0,1/1/2019,0,Paid Search,tablet,1,Illinois,0,1,google,0
0,1/1/2019,0,Paid Search,tablet,1,Kentucky,0,1,google,0
0,1/1/2019,0,Paid Search,tablet,1,Louisiana,0,1,google,0
0,1/1/2019,0,Paid Search,tablet,1,Maryland,0,1,google,0
0,1/1/2019,0,Paid Search,tablet,2,Minnesota,0,2,google,0
0,1/1/2019,0,Paid Search,tablet,1,Mississippi,0,1,google,0
0,1/1/2019,0,Paid Search,tablet,1,New Hampshire,0,1,google,0
0,1/1/2019,0,Paid Search,tablet,2,New York,0,1,google,0
0,1/1/2019,0,Paid Search,tablet,2,North Carolina,0,2,google,0
0,1/1/2019,0,Paid Search,tablet,1,Pennsylvania,0,1,google,0
0,1/1/2019,0,Paid Search,tablet,1,South Carolina,0,1,google,0
0,1/1/2019,0,Paid Search,tablet,2,Texas,0,2,google,0
0,1/1/2019,0,Referral,desktop,1,Virginia,0,1,logistimatics.zendesk.com,0
0,1/1/2019,0,Referral,desktop,1,Washington,0,1,msn.com,0
2,1/1/2019,18596,Referral,desktop,8,North Carolina,242.8600001,7,dashboard.zopim.com,2
1,1/1/2019,18439,Referral,desktop,3,Alabama,35.54000092,4,docs.google.com,2
0,1/1/2019,0,Referral,desktop,1,Arizona,0,1,zendesk.com,0
0,1/1/2019,0,Referral,mobile,1,California,0,1,webmailb.juno.com,0
0,1/1/2019,0,Referral,mobile,1,Colorado,0,1,mail.yahoo.com,0
0,1/1/2019,0,Social,mobile,3,Connecticut,0,2,m.facebook.com,0
0,1/2/2019,0,Direct,desktop,1,District of Columbia,0,1,(direct),0
0,1/2/2019,0,Direct,desktop,1,Florida,0,1,(direct),0
0,1/2/2019,0,Direct,desktop,1,Georgia,0,1,(direct),0
0,1/2/2019,0,Direct,desktop,2,Hawaii,0,2,(direct),0
0,1/2/2019,0,Direct,desktop,1,Illinois,0,1,(direct),0
0,1/2/2019,0,Direct,desktop,2,Indiana,0,2,(direct),0
0,1/2/2019,0,Direct,desktop,1,Iowa,0,1,(direct),0
0,1/2/2019,0,Direct,desktop,1,Kansas,0,1,(direct),0
0,1/2/2019,0,Direct,desktop,1,Kentucky,0,1,(direct),0
0,1/2/2019,0,Direct,desktop,1,Louisiana,0,1,(direct),0
0,1/2/2019,0,Direct,desktop,1,Maine,0,1,(direct),0
0,1/2/2019,0,Direct,desktop,4,Maryland,0,5,(direct),0
0,1/2/2019,0,Direct,desktop,1,Massachusetts,0,1,(direct),0
0,1/2/2019,0,Direct,desktop,3,Michigan,0,3,(direct),0
0,1/2/2019,0,Direct,desktop,1,Minnesota,0,1,(direct),0
0,1/2/2019,0,Direct,desktop,1,Mississippi,0,1,(direct),0
0,1/2/2019,0,Direct,mobile,3,Missouri,0,4,(direct),0
0,1/2/2019,0,Direct,mobile,1,Nebraska,0,1,(direct),0
0,1/2/2019,0,Direct,mobile,2,Nevada,0,2,(direct),0
0.5,1/2/2019,18596,Direct,mobile,8,New Hampshire,9,10,(direct),1
0,1/2/2019,0,Direct,mobile,1,New Jersey,0,1,(direct),0
0,1/2/2019,0,Direct,mobile,6,New Mexico,0,7,(direct),0
0,1/2/2019,0,Direct,mobile,9,New York,0,13,(direct),0
0,1/2/2019,0,Direct,mobile,2,North Carolina,0,2,(direct),0
0,1/2/2019,0,Direct,mobile,2,Ohio,0,2,(direct),0
0,1/2/2019,0,Direct,mobile,1,Oklahoma,0,1,(direct),0
0,1/2/2019,0,Direct,mobile,1,Oregon,0,1,(direct),0
0,1/2/2019,0,Direct,mobile,1,Pennsylvania,0,1,(direct),0
0,1/2/2019,0,Direct,mobile,1,South Carolina,0,1,(direct),0
0,1/2/2019,0,Direct,mobile,2,Tennessee,0,4,(direct),0
0,1/2/2019,0,Direct,mobile,4,Texas,0,4,(direct),0
0,1/2/2019,0,Direct,mobile,1,Utah,0,2,(direct),0
0,1/2/2019,0,Direct,mobile,9,Vermont,0,11,(direct),0
0,1/2/2019,0,Direct,mobile,2,Virginia,0,1,(direct),0
0,1/2/2019,0,Direct,mobile,2,Washington,0,2,(direct),0
0,1/2/2019,0,Direct,mobile,9,Wisconsin,0,12,(direct),0
0,1/2/2019,0,Direct,mobile,2,Arizona,0,2,(direct),0
0,1/2/2019,0,Direct,mobile,3,Connecticut,0,2,(direct),0
0,1/2/2019,0,Direct,tablet,1,District of Columbia,0,1,(direct),0
0,1/2/2019,0,Direct,tablet,1,Georgia,0,1,(direct),0
0,1/2/2019,0,Direct,tablet,1,Illinois,0,1,(direct),0
0,1/2/2019,0,Direct,tablet,1,Iowa,0,1,(direct),0
0,1/2/2019,0,Direct,tablet,1,Kentucky,0,1,(direct),0
0,1/2/2019,0,Direct,tablet,1,Louisiana,0,1,(direct),0
0,1/2/2019,0,Organic Search,desktop,2,Minnesota,0,2,google,0
1,1/2/2019,98028,Organic Search,desktop,2,Missouri,68,2,google,0
0,1/2/2019,0,Organic Search,desktop,7,Oregon,0,8,google,0
0,1/2/2019,0,Organic Search,desktop,1,Pennsylvania,0,1,google,0
0,1/2/2019,0,Organic Search,desktop,1,Tennessee,0,1,bing,0
1,1/2/2019,29744,Organic Search,desktop,2,Texas,14.94999981,1,yahoo,4
0,1/2/2019,0,Organic Search,desktop,1,California,0,1,bing,0
0,1/2/2019,0,Organic Search,desktop,1,Karnataka,0,1,yahoo,0
0,1/2/2019,0,Organic Search,desktop,2,North Carolina,0,1,bing,0
0,1/2/2019,0,Organic Search,desktop,1,North Carolina,0,1,google,0
0,1/2/2019,0,Organic Search,desktop,1,North Carolina,0,1,google,0
0,1/2/2019,0,Organic Search,desktop,1,Alabama,0,1,google,0
0,1/2/2019,0,Organic Search,desktop,1,District of Columbia,0,1,bing,0
0,1/2/2019,0,Organic Search,desktop,1,New Jersey,0,1,yahoo,1
0,1/2/2019,0,Organic Search,desktop,1,New York,0,1,bing,0
0,1/2/2019,0,Organic Search,desktop,4,North Carolina,0,4,google,0
0,1/2/2019,0,Organic Search,desktop,1,Florida,0,1,google,0
0,1/2/2019,0,Organic Search,desktop,1,Alabama,0,1,google,0
0,1/2/2019,29744,Organic Search,desktop,3,California,59,1,bing,0
0,1/2/2019,0,Organic Search,desktop,1,Connecticut,0,1,google,0
1,1/2/2019,25635,Organic Search,desktop,6,Illinois,14.94999981,6,google,0
0,1/2/2019,0,Organic Search,desktop,2,Louisiana,0,2,google,0
0,1/2/2019,0,Organic Search,desktop,1,Minnesota,0,1,google,0
0,1/2/2019,0,Organic Search,desktop,1,Mississippi,0,1,google,0
0,1/2/2019,0,Organic Search,desktop,1,New York,0,1,google,0
0,1/2/2019,0,Organic Search,desktop,1,North Carolina,0,1,google,0
0,1/2/2019,0,Organic Search,desktop,3,Pennsylvania,0,3,yahoo,0
0,1/2/2019,0,Organic Search,desktop,1,Texas,0,1,bing,0
0,1/2/2019,0,Organic Search,desktop,3,Alabama,0,3,google,0
0,1/2/2019,0,Organic Search,desktop,1,Arizona,0,1,google,0
0,1/2/2019,0,Organic Search,desktop,1,California,0,1,google,0
1,1/2/2019,18432,Organic Search,mobile,10,Colorado,14.94999981,9,google,0
0,1/2/2019,0,Organic Search,mobile,1,Connecticut,0,1,google,4
0,1/2/2019,0,Organic Search,mobile,1,District of Columbia,0,1,google,0
0,1/2/2019,0,Organic Search,mobile,1,Florida,0,5,google,0
0,1/2/2019,0,Organic Search,mobile,3,Georgia,0,2,google,0
0,1/2/2019,0,Organic Search,mobile,1,Illinois,0,1,google,0
0,1/2/2019,0,Organic Search,mobile,2,Indiana,0,3,google,0
0,1/2/2019,0,Organic Search,mobile,1,Kansas,0,4,google,0
0,1/2/2019,0,Organic Search,mobile,1,Karnataka,0,1,google,0
0,1/2/2019,0,Organic Search,mobile,1,Kentucky,0,2,google,1
0,1/2/2019,0,Organic Search,mobile,6,Louisiana,0,4,google,0
0,1/2/2019,0,Organic Search,mobile,6,Maryland,0,1,google,0
0,1/2/2019,0,Organic Search,mobile,5,Mississippi,0,3,google,0
0,1/2/2019,0,Organic Search,mobile,1,Nevada,0,1,google,0
2,1/2/2019,18432,Organic Search,mobile,1,New Jersey,71.65000057,19,google,0
0,1/2/2019,0,Organic Search,mobile,1,New York,0,1,google,0
0,1/2/2019,0,Organic Search,tablet,15,North Carolina,0,1,google,0
0,1/2/2019,0,Organic Search,tablet,1,Ohio,0,3,google,0
0,1/2/2019,0,Organic Search,tablet,1,Pennsylvania,0,1,google,0
0,1/2/2019,0,Organic Search,tablet,2,Phuket,0,1,google,0
0,1/2/2019,0,Paid Search,desktop,1,Tel Aviv District,0,3,google,0
0,1/2/2019,0,Paid Search,desktop,1,Tennessee,0,2,google,0
0,1/2/2019,0,Paid Search,desktop,1,Texas,0,1,google,0
0,1/2/2019,0,Paid Search,desktop,1,Washington,0,1,google,0
0,1/2/2019,0,Paid Search,desktop,1,Wisconsin,0,1,google,0
0,1/2/2019,0,Paid Search,desktop,2,California,0,1,google,0
0,1/2/2019,0,Paid Search,desktop,2,Florida,0,5,google,0
0,1/2/2019,0,Paid Search,desktop,1,Illinois,0,1,google,0
0,1/2/2019,0,Paid Search,desktop,1,Alabama,0,1,google,0
1,1/2/2019,18432,Paid Search,desktop,3,Arizona,44.95000076,4,google,1
0,1/2/2019,0,Paid Search,desktop,1,British Columbia,0,3,google,0
0,1/2/2019,0,Paid Search,desktop,1,California,0,1,google,0
0,1/2/2019,0,Paid Search,mobile,1,California,0,9,google,0
1,1/2/2019,26626,Paid Search,mobile,1,Connecticut,49.95000076,6,google,1
0,1/2/2019,0,Paid Search,mobile,1,Florida,0,4,google,0
0.333333333,1/2/2019,25621,Paid Search,mobile,1,Georgia,49.95000076,50,google,1
0,1/2/2019,0,Paid Search,mobile,1,Georgia,0,7,google,0
0,1/2/2019,0,Paid Search,mobile,1,Gujarat,0,5,google,0
0,1/2/2019,0,Paid Search,mobile,3,Hawaii,0,1,google,0
1,1/2/2019,26626,Paid Search,mobile,2,Illinois,49.95000076,9,google,1
0.333333333,1/2/2019,18432,Paid Search,mobile,1,Indiana,49.95000076,36,google,1
0.5,1/2/2019,98028,Paid Search,mobile,2,Istanbul,6.860000134,28,google,1
0,1/2/2019,0,Paid Search,mobile,1,Kansas,0,2,google,0
0,1/2/2019,0,Paid Search,mobile,1,Kentucky,0,1,google,0
0,1/2/2019,0,Paid Search,mobile,2,Lombardy,0,31,google,0
1,1/2/2019,98028,Paid Search,mobile,1,Louisiana,49.95000076,8,google,1
0,1/2/2019,0,Paid Search,mobile,3,Massachusetts,0,6,google,0
0,1/2/2019,0,Paid Search,mobile,1,Minnesota,0,2,google,0
0,1/2/2019,0,Paid Search,mobile,2,New York,0,2,google,0
0,1/2/2019,0,Paid Search,mobile,2,North Carolina,0,3,google,0
0,1/2/2019,0,Paid Search,mobile,1,Ohio,0,1,google,0
0,1/2/2019,0,Paid Search,mobile,2,Oregon,0,3,google,0
0,1/2/2019,0,Paid Search,mobile,1,Pennsylvania,0,8,google,0
0,1/2/2019,0,Paid Search,mobile,2,Rajasthan,0,13,google,0
0,1/2/2019,0,Paid Search,mobile,6,South Dakota,0,6,google,0
0,1/2/2019,0,Paid Search,mobile,1,South Holland,0,9,google,0
0,1/2/2019,25621,Paid Search,mobile,7,Tamil Nadu,71.04000092,10,google,1
1,1/2/2019,26626,Paid Search,mobile,9,Telangana,44.95000076,4,google,1
0,1/2/2019,0,Paid Search,mobile,4,Tennessee,0,10,google,0
0,1/2/2019,0,Paid Search,mobile,3,Texas,0,11,google,0
0,1/2/2019,0,Paid Search,mobile,1,Washington,0,1,google,0
0.5,1/2/2019,18432,Paid Search,mobile,2,Arkansas,49.95000076,30,google,1
0,1/2/2019,0,Paid Search,mobile,1,California,0,27,google,0
0,1/2/2019,0,Paid Search,mobile,2,Colorado,0,11,google,0
0,1/2/2019,0,Paid Search,mobile,2,District of Columbia,0,5,google,0
0,1/2/2019,0,Paid Search,mobile,1,Florida,0,6,google,0
0,1/2/2019,0,Paid Search,mobile,1,Georgia,0,19,google,0
0,1/2/2019,0,Paid Search,mobile,3,Hanoi,0,5,google,0
0,1/2/2019,0,Paid Search,mobile,3,Himachal Pradesh,0,1,google,0
0,1/2/2019,0,Paid Search,mobile,1,Illinois,0,18,google,0
0,1/2/2019,0,Paid Search,mobile,2,Indiana,0,69,google,0
0,1/2/2019,0,Paid Search,mobile,2,Kentucky,0,2,(direct),0
0,1/2/2019,0,Paid Search,mobile,1,Larnaca,0,8,(direct),0
0,1/2/2019,0,Paid Search,mobile,2,Louisiana,0,15,(direct),0
0,1/2/2019,0,Paid Search,mobile,2,Maharashtra,0,3,(direct),0
0,1/2/2019,0,Paid Search,tablet,7,Massachusetts,0,2,(direct),0
0,1/2/2019,0,Paid Search,tablet,4,Michigan,0,2,(direct),0
0,1/2/2019,0,Paid Search,tablet,1,Missouri,0,1,(direct),0
0,1/2/2019,0,Paid Search,tablet,1,Nevada,0,1,(direct),0
0,1/2/2019,0,Paid Search,tablet,1,New Jersey,0,1,(direct),0
0,1/2/2019,0,Paid Search,tablet,1,New Mexico,0,3,(direct),0
0,1/2/2019,0,Paid Search,tablet,3,New York,0,1,(direct),0
0,1/2/2019,0,Paid Search,tablet,4,North Carolina,0,1,(direct),0
0,1/2/2019,0,Paid Search,tablet,1,Ohio,0,3,(direct),0
0,1/2/2019,0,Paid Search,tablet,2,Ontario,0,1,(direct),0
0,1/2/2019,0,Paid Search,tablet,1,Oregon,0,4,(direct),0
0,1/2/2019,0,Paid Search,tablet,2,Pennsylvania,0,2,(direct),0
0,1/2/2019,0,Paid Search,tablet,1,Region Zealand,0,1,(direct),0
0,1/2/2019,0,Paid Search,tablet,1,South Carolina,0,1,google,0
0,1/2/2019,0,Paid Search,tablet,2,Tennessee,0,1,google,0
0,1/2/2019,0,Referral,desktop,3,Texas,0,1,google,0
0,1/2/2019,0,Referral,desktop,1,Texas,0,1,google,0
0,1/2/2019,0,Referral,desktop,2,Utah,0,1,bing,0
0,1/2/2019,0,Referral,desktop,1,Virginia,0,1,yahoo,0
1,1/2/2019,25621,Referral,desktop,1,Washington,106.9100037,6,bing,2
0,1/2/2019,0,Referral,desktop,1,Wisconsin,0,3,yahoo,0
0,1/2/2019,0,Referral,desktop,3,California,0,2,bing,0
0,1/2/2019,0,Referral,desktop,1,Florida,0,2,google,0
1,1/2/2019,26626,Referral,desktop,8,Florida,14.94999981,2,google,1
0,1/2/2019,0,Referral,tablet,5,Indiana,0,1,google,0
0,1/2/2019,0,Referral,tablet,20,Pennsylvania,0,1,bing,0
0,1/3/2019,0,Direct,desktop,10,Alabama,0,1,yahoo,0
0,1/3/2019,0,Direct,desktop,3,California,0,1,bing,0
0,1/3/2019,0,Direct,desktop,9,Connecticut,0,1,google,0
0,1/3/2019,0,Direct,desktop,17,Florida,0,5,google,0
0,1/3/2019,0,Direct,desktop,15,Georgia,0,1,google,0
0,1/3/2019,0,Direct,desktop,1,Hawaii,0,1,bing,0
0,1/3/2019,0,Direct,desktop,1,Louisiana,0,1,google,0
1,1/3/2019,25621,Direct,desktop,13,Missouri,14.94999981,1,google,1
0,1/3/2019,0,Direct,desktop,8,New Jersey,0,1,google,0
0,1/3/2019,0,Direct,desktop,5,New York,0,1,google,0
0,1/3/2019,0,Direct,mobile,1,North Carolina,0,1,google,0
0,1/3/2019,0,Direct,mobile,9,Pennsylvania,0,2,google,0
0,1/3/2019,0,Direct,mobile,5,South Carolina,0,17,google,0
0,1/3/2019,0,Direct,mobile,2,Texas,0,1,yahoo,0
0,1/3/2019,0,Direct,mobile,5,Washington,0,1,bing,0
0,1/3/2019,0,Direct,mobile,4,Alabama,0,5,google,0
0.5,1/3/2019,98028,Direct,mobile,9,Arizona,14.94999981,5,google,1
0.5,1/3/2019,25621,Direct,mobile,5,Arkansas,11.22999954,5,google,1
1,1/3/2019,98028,Direct,mobile,6,Buenos Aires,5.570000172,2,google,1
0,1/3/2019,0,Direct,mobile,3,California,0,1,google,0
0,1/3/2019,0,Direct,mobile,2,Colorado,0,2,google,0
0,1/3/2019,0,Direct,mobile,4,Connecticut,0,3,google,0
0,1/3/2019,0,Direct,mobile,2,District of Columbia,0,4,google,0
0,1/3/2019,0,Direct,mobile,1,Florida,0,11,google,0
0,1/3/2019,0,Direct,mobile,9,Georgia,0,1,google,0
0,1/3/2019,0,Direct,mobile,15,Hawaii,0,5,google,0
0,1/3/2019,0,Direct,mobile,16,Idaho,0,4,google,0
0,1/3/2019,0,Direct,tablet,5,Illinois,0,1,google,0
1,1/3/2019,98028,Direct,tablet,6,Indiana,14.94999981,2,google,1
0,1/3/2019,0,Direct,tablet,7,Iowa,0,3,google,0
0,1/3/2019,0,Organic Search,desktop,14,Istanbul,0,1,google,0
0,1/3/2019,0,Organic Search,desktop,1,Kansas,0,1,google,0
0,1/3/2019,0,Organic Search,desktop,7,Kentucky,0,2,google,0
0,1/3/2019,0,Organic Search,desktop,11,Louisiana,0,1,google,0
0,1/3/2019,0,Organic Search,desktop,20,Maine,0,6,google,0
0,1/3/2019,0,Organic Search,desktop,1,Maryland,0,1,google,0
0,1/3/2019,0,Organic Search,desktop,5,Massachusetts,0,1,google,0
0,1/3/2019,0,Organic Search,desktop,10,Michigan,0,1,google,0
1,1/3/2019,18432,Organic Search,desktop,6,Minnesota,44.95000076,1,google,1
0,1/3/2019,0,Organic Search,desktop,1,Missouri,0,1,google,0
